iter	Passed	Remaining
920	49312	4229
921	49362	4176
922	49419	4122
923	49477	4069
924	49533	4016
925	49594	3963
926	49656	3910
927	49708	3856
928	49765	3803
929	49818	3749
930	49873	3696
931	49946	3644
932	50023	3592
933	50095	3539
934	50177	3488
935	50244	3435
936	50313	3382
937	50378	3329
938	50438	3276
939	50502	3223
940	50555	3169
941	50616	3116
942	50671	3062
943	50724	3009
944	50779	2955
945	50830	2901
946	50874	2847
947	50914	2792
948	50955	2738
949	50997	2684
950	51050	2630
951	51100	2576
952	51148	2522
953	51194	2468
954	51242	2414
955	51294	2360
956	51359	2307
957	51414	2254
958	51472	2200
959	51527	2146
960	51595	2093
961	51645	2040
962	51681	1985
963	51744	1932
964	51782	1878
965	51852	1825
966	51910	1771
967	51944	1717
968	52003	1663
969	52108	1611
970	52166	1558
971	52219	1504
972	52286	1450
973	52336	1397
974	52382	1343
975	52409	1288
976	52438	1234
977	52472	1180
978	52498	1126
979	52525	1071
980	52556	1017
981	52586	963
982	52614	909
983	52642	855
984	52677	802
985	52706	748
986	52736	694
987	52763	640
988	52795	587
989	52837	533
990	52874	480
991	52907	426
992	52941	373
993	52975	319
994	53009	266
995	53043	213
996	53073	159
997	53110	106
998	53167	53
999	53200	0
